1,S,1,2
2,S,1,1
2,S,1,3
2,F,1,2

5,S,1,5
6,S,1,4
6,S,1,6
6,F,1,5

10,H,1,3
10,H,1,4
11,F,1,3
11,F,1,4

15,G,1,3

17,G,1,4

19,G,1,3
19,G,1,4
21,G,1,1
21,G,1,2
21,G,1,5
21,G,1,6

28,H,1,2
28,H,1,5
29,G,1,2
29,G,1,5
29,F,1,1
29,F,1,3
29,F,1,4
29,F,1,6

40,S,1,2
40,S,1,5
41,S,1,1
41,S,1,3
41,S,1,4
41,S,1,6
41,G,1,2
41,G,1,5
44,H,1,3
44,H,1,4
45,F,1,3
45,F,1,4

52,H,1,1
52,H,1,2
52,H,1,3
53,F,1,2
55,H,1,4
55,H,1,5
55,H,1,6
56,F,1,5
62,H,1,1
62,H,1,2
62,H,1,3
63,F,1,1
63,G,1,2
63,F,1,3
66,H,1,4
66,H,1,5
66,H,1,6
67,F,1,4
67,G,1,5
67,F,1,6

80,G,1,2
80,G,1,5
81,F,1,1
81,F,1,3
81,F,1,4
81,F,1,6
86,H,1,3
86,H,1,4
87,G,1,3
87,G,1,4
88,F,1,2
88,F,1,5
92,G,1,1
92,G,1,2
92,G,1,3
92,G,1,4
92,G,1,5
92,G,1,6
