1,N,1,3

4,N,1,2
4,N,1,5

8,N,1,1
8,N,1,3
8,N,1,6

14,S,1,3
15,S,1,3
15,S,1,4

18,S,1,2
18,S,1,5
19,S,1,1
19,S,1,3
19,S,1,4
19,S,1,6

23,S,1,2
23,S,1,5
24,N,1,3
24,N,1,4
24,S,1,1
24,S,1,3
24,S,1,4
24,S,1,6

30,S,1,2
30,S,1,5
30,S,1,3
31,S,1,1
31,S,1,3
31,S,1,2
31,S,1,4
31,S,1,5
31,S,1,6

36,S,1,3
36,S,1,4
37,S,1,3
37,S,1,4
37,S,1,2
37,S,1,5
39,N,1,1
39,N,1,2
40,N,1,5
40,N,1,6

48,S,1,2
48,S,1,5
49,S,1,1
49,S,1,3
49,S,1,4
49,S,1,6
49,N,1,2
49,N,1,5
52,N,1,3
52,N,1,4

60,S,1,3
60,S,1,4
61,S,1,3
61,S,1,4
64,N,1,3
64,N,1,4
65,N,1,3
65,N,1,4
64,S,1,1
64,S,1,2
64,S,1,5
64,S,1,6
65,S,1,1
65,S,1,2
65,S,1,5
65,S,1,6
